iter	Passed	Remaining
599	3252	2168
600	3257	2162
601	3262	2156
602	3267	2151
603	3272	2145
604	3277	2140
605	3282	2134
606	3287	2128
607	3292	2122
608	3297	2116
609	3302	2111
610	3307	2105
611	3313	2100
612	3318	2094
613	3323	2089
614	3328	2083
615	3333	2077
616	3337	2072
617	3342	2066
618	3347	2060
619	3352	2054
620	3357	2049
621	3362	2043
622	3367	2038
623	3373	2032
624	3378	2026
625	3383	2021
626	3388	2015
627	3393	2010
628	3398	2004
629	3403	1998
630	3408	1993
631	3413	1987
632	3418	1981
633	3422	1975
634	3427	1969
635	3432	1964
636	3436	1958
637	3441	1952
638	3447	1947
639	3451	1941
640	3457	1936
641	3462	1930
642	3467	1925
643	3472	1919
644	3477	1914
645	3482	1908
646	3487	1902
647	3492	1897
648	3497	1891
649	3501	1885
650	3506	1879
651	3511	1874
652	3517	1868
653	3521	1863
654	3527	1857
655	3532	1852
656	3537	1846
657	3542	1841
658	3548	1836
659	3553	1830
660	3558	1825
661	3563	1819
662	3568	1813
663	3573	1808
664	3578	1802
665	3584	1797
666	3588	1791
667	3593	1786
668	3599	1780
669	3604	1775
670	3609	1769
671	3614	1764
672	3620	1759
673	3625	1753
674	3629	1747
675	3635	1742
676	3639	1736
677	3644	1730
678	3649	1725
679	3654	1719
680	3659	1714
681	3665	1708
682	3670	1703
683	3675	1697
684	3680	1692
685	3684	1686
686	3689	1681
687	3694	1675
688	3699	1669
689	3704	1664
690	3709	1658
691	3714	1653
692	3719	1647
693	3724	1642
694	3729	1636
695	3733	1630
696	3738	1625
697	3743	1619
698	3748	1614
699	3753	1608
700	3758	1603
701	3763	1597
702	3768	1592
703	3773	1586
704	3778	1581
705	3783	1575
706	3788	1570
707	3792	1564
708	3798	1558
709	3803	1553
710	3808	1547
711	3813	1542
712	3818	1537
713	3823	1531
714	3828	1526
715	3833	1520
716	3838	1514
717	3843	1509
718	3847	1503
719	3852	1498
720	3857	1492
721	3862	1487
722	3867	1481
723	3872	1476
724	3877	1470
725	3882	1465
726	3887	1459
727	3892	1454
728	3897	1448
729	3902	1443
730	3907	1437
731	3911	1432
732	3916	1426
733	3921	1421
734	3926	1415
735	3931	1410
736	3936	1404
737	3941	1399
738	3946	1393
739	3951	1388
